TITLE     = "CFD++ results at NT=2400, TAU=0.000000"
VARIABLES = "X"
"dp/p"
ZONE T="Extracted Points"
 STRANDID=0, SOLUTIONTIME=0
 I=973, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 0.75968426E+02  -0.41869889E-02
 0.76196764E+02  -0.41778228E-02
 0.76425102E+02  -0.41686568E-02
 0.76653440E+02  -0.41594907E-02
 0.76881778E+02  -0.41503247E-02
 0.77110116E+02  -0.41411586E-02
 0.77338454E+02  -0.41319926E-02
 0.77566792E+02  -0.41228265E-02
 0.77795130E+02  -0.41136605E-02
 0.78023468E+02  -0.41044944E-02
 0.78251806E+02  -0.40953284E-02
 0.78480144E+02  -0.40861623E-02
 0.78708481E+02  -0.40769962E-02
 0.78936819E+02  -0.40678302E-02
 0.79165157E+02  -0.40586641E-02
 0.79393495E+02  -0.40494981E-02
 0.79621833E+02  -0.40403320E-02
 0.79850171E+02  -0.40311660E-02
 0.80078509E+02  -0.40219999E-02
 0.80306847E+02  -0.40128339E-02
 0.80535185E+02  -0.40036678E-02
 0.80763523E+02  -0.39945018E-02
 0.80991861E+02  -0.39853357E-02
 0.81220199E+02  -0.39761697E-02
 0.81448537E+02  -0.39670036E-02
 0.81676875E+02  -0.39578376E-02
 0.81905213E+02  -0.39486715E-02
 0.82133551E+02  -0.39395055E-02
 0.82361889E+02  -0.39303394E-02
 0.82590227E+02  -0.39211734E-02
 0.82818565E+02  -0.39120073E-02
 0.83046903E+02  -0.39028413E-02
 0.83275241E+02  -0.38936752E-02
 0.83503579E+02  -0.38845091E-02
 0.83731917E+02  -0.38753431E-02
 0.83960255E+02  -0.38661770E-02
 0.84188593E+02  -0.38570110E-02
 0.84416931E+02  -0.38478449E-02
 0.84645269E+02  -0.38386789E-02
 0.84873606E+02  -0.38295128E-02
 0.85101944E+02  -0.38177837E-02
 0.85330282E+02  -0.38043158E-02
 0.85558620E+02  -0.37908479E-02
 0.85786958E+02  -0.37773800E-02
 0.86015296E+02  -0.37639120E-02
 0.86243634E+02  -0.37504441E-02
 0.86471972E+02  -0.37369762E-02
 0.86700310E+02  -0.37235083E-02
 0.86928648E+02  -0.37100404E-02
 0.87156986E+02  -0.36965725E-02
 0.87385324E+02  -0.36831045E-02
 0.87613662E+02  -0.36696366E-02
 0.87842000E+02  -0.36561687E-02
 0.88070338E+02  -0.36427008E-02
 0.88298676E+02  -0.36292329E-02
 0.88527014E+02  -0.36157650E-02
 0.88755352E+02  -0.36022970E-02
 0.88983690E+02  -0.35888291E-02
 0.89212028E+02  -0.35753612E-02
 0.89440366E+02  -0.35618933E-02
 0.89668704E+02  -0.35484254E-02
 0.89897042E+02  -0.35349575E-02
 0.90125380E+02  -0.35214895E-02
 0.90353718E+02  -0.35080216E-02
 0.90582056E+02  -0.34945537E-02
 0.90810394E+02  -0.34810858E-02
 0.91038731E+02  -0.34676179E-02
 0.91267069E+02  -0.34541500E-02
 0.91495407E+02  -0.34406820E-02
 0.91723745E+02  -0.34272141E-02
 0.91952083E+02  -0.34137462E-02
 0.92180421E+02  -0.34002783E-02
 0.92408759E+02  -0.33868104E-02
 0.92637097E+02  -0.33733425E-02
 0.92865435E+02  -0.33598745E-02
 0.93093773E+02  -0.33464066E-02
 0.93322111E+02  -0.33329387E-02
 0.93550449E+02  -0.33194708E-02
 0.93778787E+02  -0.33060029E-02
 0.94007125E+02  -0.32925350E-02
 0.94235463E+02  -0.32790670E-02
 0.94463801E+02  -0.32655991E-02
 0.94692139E+02  -0.32521312E-02
 0.94920477E+02  -0.32393876E-02
 0.95148815E+02  -0.32291898E-02
 0.95377153E+02  -0.32189919E-02
 0.95605491E+02  -0.32087940E-02
 0.95833829E+02  -0.31985962E-02
 0.96062167E+02  -0.31883983E-02
 0.96290505E+02  -0.31782005E-02
 0.96518843E+02  -0.31680026E-02
 0.96747181E+02  -0.31578047E-02
 0.96975519E+02  -0.31476069E-02
 0.97203856E+02  -0.31374090E-02
 0.97432194E+02  -0.31272112E-02
 0.97660532E+02  -0.31170133E-02
 0.97888870E+02  -0.31068154E-02
 0.98117208E+02  -0.30966176E-02
 0.98345546E+02  -0.30864197E-02
 0.98573884E+02  -0.30762219E-02
 0.98802222E+02  -0.30660240E-02
 0.99030560E+02  -0.30558261E-02
 0.99258898E+02  -0.30456283E-02
 0.99487236E+02  -0.30354304E-02
 0.99715574E+02  -0.30252326E-02
 0.99943912E+02  -0.30150347E-02
 0.10017225E+03  -0.30048368E-02
 0.10040059E+03  -0.29946390E-02
 0.10062893E+03  -0.29844411E-02
 0.10085726E+03  -0.29742433E-02
 0.10108560E+03  -0.29640454E-02
 0.10131394E+03  -0.29538476E-02
 0.10154228E+03  -0.29436497E-02
 0.10177062E+03  -0.29334518E-02
 0.10199895E+03  -0.29232540E-02
 0.10222729E+03  -0.29130561E-02
 0.10245563E+03  -0.29028583E-02
 0.10268397E+03  -0.28926604E-02
 0.10291231E+03  -0.28824625E-02
 0.10314064E+03  -0.28722647E-02
 0.10336898E+03  -0.28620668E-02
 0.10359732E+03  -0.28518690E-02
 0.10382566E+03  -0.28416711E-02
 0.10405400E+03  -0.28314732E-02
 0.10428233E+03  -0.28212754E-02
 0.10451067E+03  -0.28110775E-02
 0.10473901E+03  -0.28008797E-02
 0.10496735E+03  -0.27906818E-02
 0.10519569E+03  -0.27804839E-02
 0.10542402E+03  -0.27702861E-02
 0.10565236E+03  -0.27600882E-02
 0.10588070E+03  -0.27498904E-02
 0.10610904E+03  -0.27396925E-02
 0.10633738E+03  -0.27294946E-02
 0.10656571E+03  -0.27192968E-02
 0.10679405E+03  -0.27090989E-02
 0.10702239E+03  -0.26989011E-02
 0.10725073E+03  -0.26887032E-02
 0.10747906E+03  -0.26785053E-02
